invoiceid;branch;city;customer type;product category;product name;unit price;quantity;tax;total;date;time;payment;cogs;gross margin percentage;gross income;rating
INV-000020;B;Bauru;Filiada;Cardiovasculares;Sinvastatina 20mg 30 comprimidos - EMS;8.12;3;10.2;24.36;2026-07-01;15:40:12;Dinheiro;17.79;26.97;6.57;4.3
INV-000021;B;São Carlos;Filiada;Diabetes;Metformina 850mg 30 comprimidos - EMS;17.1;5;8.0;85.5;2026-05-05;11:45:16;Cartão de Crédito;62.92;26.41;22.58;4.3
INV-000022;A;Araraquara;Não Filiada;Vitaminas e Suplementos;Redoxon 10 comprimidos efervescentes - Bayer;17.51;1;10.2;17.51;2026-07-27;16:01:28;Cartão de Débito;12.44;28.95;5.07;5.0
INV-000023;A;Jaú;Não Filiada;Dermatológicos;Hidratante CeraVe 200ml - L'Oréal;45.56;2;6.0;91.12;2026-06-21;11:24:17;Cartão de Crédito;61.75;32.23;29.37;4.1
INV-000024;A;São Carlos;Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;7.06;2;11.3;14.12;2026-05-04;15:03:44;Cartão de Crédito;7.85;44.41;6.27;4.0
INV-000025;A;Bauru;Não Filiada;Antialérgicos;Allegra Pediátrico 60ml - Sanofi;45.37;1;5.2;45.37;2026-08-12;16:06:41;Cartão de Crédito;26.65;41.26;18.72;4.9
INV-000026;A;Jaú;Não Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;35.85;2;8.0;71.7;2026-08-03;15:46:52;Cartão de Crédito;45.77;36.16;25.93;3.8
INV-000027;B;Jaú;Filiada;Gripe e Tosse;Cimegripe 4 cápsulas - Cimed;6.39;1;9.5;6.39;2026-07-21;08:10:03;Dinheiro;4.47;30.05;1.92;4.0
INV-000028;A;Bauru;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;14.46;2;6.0;28.92;2026-06-21;22:26:58;Pix;17.83;38.35;11.09;4.4
INV-000029;A;Araraquara;Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;12.35;1;5.2;12.35;2026-08-09;09:37:50;Pix;7.41;40.0;4.94;4.0
INV-000030;A;Jaú;Não Filiada;Analgésicos;Buscopan 10mg 20 comprimidos - Boehringer Ingelheim;14.04;1;7.5;14.04;2026-07-29;15:30:56;Cartão de Débito;9.64;31.34;4.4;3.4
INV-000031;B;Bauru;Não Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;14.75;6;4.5;88.5;2026-05-18;14:58:56;Pix;63.32;28.45;25.18;3.8
INV-000032;A;Bauru;Filiada;Antibióticos;Cefalexina 500mg 8 cápsulas - EMS;15.8;2;6.0;31.6;2026-07-17;11:17:02;Dinheiro;23.58;25.38;8.02;4.5
INV-000033;A;Bauru;Não Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;44.95;1;5.2;44.95;2026-05-04;12:24:56;Cartão de Crédito;25.88;42.42;19.07;4.6
INV-000034;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;10.0;1;11.3;10.0;2026-06-06;12:56:28;Cartão de Crédito;6.03;39.7;3.97;4.3
INV-000035;A;São Carlos;Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;22.9;1;12.5;22.9;2026-07-16;18:57:50;Dinheiro;13.16;42.53;9.74;3.6
INV-000036;A;Bauru;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;50.1;4;10.2;200.4;2026-07-30;20:14:19;Cartão de Crédito;110.41;44.91;89.99;4.3
INV-000037;A;Jaú;Não Filiada;Gripe e Tosse;Vick VapoRub 30g - Kenvue;21.87;1;8.0;21.87;2026-06-26;16:18:54;Cartão de Crédito;14.48;33.79;7.39;5.0
INV-000038;A;Jaú;Não Filiada;Analgésicos;Ibuprofeno 600mg 20 comprimidos - Medley;20.72;1;7.5;20.72;2026-05-29;13:46:42;Pix;11.34;45.27;9.38;3.6
INV-000039;A;Araraquara;Não Filiada;Antialérgicos;Desloratadina 5mg 10 comprimidos - Eurofarma;23.72;1;6.0;23.72;2026-08-04;18:45:38;Pix;14.99;36.8;8.73;4.6
INV-000040;A;Bauru;Não Filiada;Analgésicos;Buscopan 10mg 20 comprimidos - Boehringer Ingelheim;16.53;2;4.5;33.06;2026-05-23;12:36:21;Cartão de Crédito;20.32;38.54;12.74;4.4
INV-000041;B;Bauru;Filiada;Analgésicos;Paracetamol 500mg 20 comprimidos - Neo Química;11.44;1;6.0;11.44;2026-06-17;21:18:39;Cartão de Crédito;6.0;47.55;5.44;3.9
INV-000042;A;Bauru;Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - Eurofarma;36.88;1;9.5;36.88;2026-07-14;16:07:04;Cartão de Débito;25.84;29.93;11.04;4.4
INV-000043;A;Araraquara;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;28.56;1;8.0;28.56;2026-05-31;20:00:52;Cartão de Débito;17.31;39.39;11.25;4.5
INV-000044;B;São Carlos;Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;11.83;1;6.0;11.83;2026-07-05;17:24:39;Cartão de Crédito;6.81;42.43;5.02;4.1
INV-000045;B;Bauru;Não Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;10.51;1;11.3;10.51;2026-06-14;16:55:04;Cartão de Crédito;6.28;40.25;4.23;3.9
INV-000046;A;Bauru;Filiada;Dermatológicos;Hidratante CeraVe 200ml - L'Oréal;42.65;1;6.0;42.65;2026-05-22;19:04:44;Pix;29.75;30.25;12.9;4.4
INV-000047;A;São Carlos;Não Filiada;Analgésicos;Ibuprofeno 600mg 20 comprimidos - Medley;13.12;4;8.0;52.48;2026-07-16;15:36:26;Pix;33.09;36.95;19.39;3.5
INV-000048;A;Bauru;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;35.2;1;7.5;35.2;2026-06-04;19:54:28;Cartão de Débito;20.27;42.41;14.93;3.6
INV-000049;A;Bauru;Filiada;Analgésicos;Tylenol 750mg 20 comprimidos - Kenvue;22.42;4;6.0;89.68;2026-05-28;13:11:03;Dinheiro;46.84;47.77;42.84;4.7
INV-000050;C;São Carlos;Filiada;Antialérgicos;Histamin 2mg 20 comprimidos - Neo Química;6.24;1;5.2;6.24;2026-05-04;16:14:18;Cartão de Crédito;4.31;30.93;1.93;4.3
INV-000051;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;15.95;2;11.3;31.9;2026-08-09;12:31:18;Cartão de Crédito;22.66;28.97;9.24;4.8
INV-000052;C;Bauru;Não Filiada;Diabetes;Gliclazida 30mg 30 comprimidos - Servier;21.86;1;5.2;21.86;2026-08-06;14:40:45;Cartão de Crédito;12.53;42.68;9.33;4.0
INV-000053;A;Araraquara;Filiada;Antialérgicos;Desloratadina 5mg 10 comprimidos - Eurofarma;12.8;2;8.0;25.6;2026-08-01;10:11:48;Cartão de Débito;13.74;46.33;11.86;4.0
INV-000054;A;São Carlos;Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;20.15;2;11.3;40.3;2026-06-09;15:47:38;Cartão de Crédito;24.78;38.51;15.52;4.7
INV-000055;B;Bauru;Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;7.33;2;6.0;14.66;2026-08-05;18:14:01;Cartão de Débito;10.65;27.35;4.01;4.0
INV-000056;A;Jaú;Não Filiada;Gripe e Tosse;Naldecon Dia 4 comprimidos - Reckitt;16.39;2;5.2;32.78;2026-08-04;16:56:12;Cartão de Crédito;24.07;26.57;8.71;4.2
INV-000057;A;Jaú;Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;20.22;2;8.0;40.44;2026-07-01;14:35:27;Cartão de Crédito;24.89;38.45;15.55;4.7
INV-000058;B;São Carlos;Não Filiada;Antibióticos;Ciprofloxacino 500mg 14 comprimidos - Medley;29.71;4;10.2;118.84;2026-07-25;20:31:08;Cartão de Débito;64.88;45.41;53.96;4.2
INV-000059;A;Jaú;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;13.28;1;7.5;13.28;2026-05-17;11:43:32;Cartão de Crédito;9.07;31.7;4.21;4.1
INV-000060;A;Araraquara;Filiada;Vitaminas e Suplementos;Centrum Adultos 30 comprimidos - Haleon;32.72;1;8.0;32.72;2026-05-24;20:46:23;Cartão de Crédito;22.66;30.75;10.06;4.4
INV-000061;A;São Carlos;Não Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;27.13;2;6.0;54.26;2026-06-21;10:04:00;Dinheiro;41.07;24.31;13.19;4.7
INV-000062;A;Bauru;Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - EMS;11.86;1;7.5;11.86;2026-06-01;16:52:31;Pix;6.83;42.41;5.03;3.8
INV-000063;A;Bauru;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;9.82;2;8.0;19.64;2026-07-15;11:40:03;Pix;10.8;45.01;8.84;4.2
INV-000064;A;Araraquara;Filiada;Antialérgicos;Allegra Pediátrico 60ml - Sanofi;32.47;3;6.0;97.41;2026-07-28;17:43:16;Cartão de Débito;57.75;40.71;39.66;4.8
INV-000065;A;São Carlos;Não Filiada;Antibióticos;Azitromicina 500mg 5 comprimidos - Medley;19.47;1;7.5;19.47;2026-05-11;18:18:57;Cartão de Débito;12.74;34.57;6.73;4.9
INV-000066;A;Jaú;Não Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - EMS;25.97;1;6.0;25.97;2026-05-28;14:18:18;Pix;15.49;40.35;10.48;3.7
INV-000067;A;Araraquara;Não Filiada;Vitaminas e Suplementos;Redoxon 10 comprimidos efervescentes - Bayer;25.76;2;6.0;51.52;2026-05-03;14:57:16;Cartão de Crédito;34.27;33.48;17.25;4.5
INV-000068;A;Araraquara;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;25.09;1;9.5;25.09;2026-05-21;10:49:56;Dinheiro;15.97;36.35;9.12;4.3
INV-000069;A;Araraquara;Filiada;Antibióticos;Azitromicina 500mg 5 comprimidos - Medley;35.85;1;9.5;35.85;2026-08-06;14:01:42;Pix;21.71;39.44;14.14;4.2
INV-000070;A;Bauru;Não Filiada;Gripe e Tosse;Vick VapoRub 30g - Kenvue;28.17;2;8.0;56.34;2026-05-21;13:26:10;Pix;39.25;30.33;17.09;4.7
INV-000071;B;Bauru;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;8.64;1;9.5;8.64;2026-06-14;22:03:05;Cartão de Crédito;6.5;24.77;2.14;4.1
INV-000072;A;Jaú;Não Filiada;Gripe e Tosse;Naldecon Dia 4 comprimidos - Reckitt;10.54;1;8.0;10.54;2026-08-01;08:09:40;Cartão de Crédito;6.91;34.44;3.63;5.0
INV-000073;A;São Carlos;Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;26.41;2;11.3;52.82;2026-06-09;14:52:18;Cartão de Crédito;35.57;32.66;17.25;3.8
INV-000074;A;Jaú;Filiada;Vitaminas e Suplementos;Lavitan A-Z 60 comprimidos - Cimed;29.0;1;6.0;29.0;2026-05-30;13:02:30;Pix;18.15;37.41;10.85;3.4
INV-000075;C;São Carlos;Não Filiada;Cardiovasculares;Atenolol 25mg 30 comprimidos - Prati-Donaduzzi;10.57;2;9.5;21.14;2026-08-06;16:08:55;Pix;12.67;40.07;8.47;3.4
INV-000076;A;Jaú;Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;16.5;1;6.0;16.5;2026-06-29;20:55:22;Cartão de Débito;8.62;47.76;7.88;3.2
INV-000077;A;São Carlos;Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - EMS;14.65;1;8.0;14.65;2026-06-25;18:08:14;Cartão de Crédito;9.11;37.82;5.54;4.2
INV-000078;A;Bauru;Não Filiada;Antialérgicos;Allegra Pediátrico 60ml - Sanofi;48.68;1;10.2;48.68;2026-07-19;11:13:47;Cartão de Crédito;36.65;24.71;12.03;4.7
INV-000079;B;Jaú;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;8.45;1;7.5;8.45;2026-08-04;21:00:56;Pix;5.2;38.46;3.25;4.9
INV-000080;A;Bauru;Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - Medley;15.96;2;8.0;31.92;2026-07-13;16:40:51;Cartão de Crédito;22.85;28.41;9.07;4.5
INV-000081;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;7.08;5;11.3;35.4;2026-06-27;18:54:01;Cartão de Débito;18.5;47.74;16.9;3.6
INV-000082;A;São Carlos;Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;13.1;1;8.0;13.1;2026-05-27;17:38:23;Pix;8.91;31.98;4.19;4.3
INV-000083;A;São Carlos;Filiada;Vitaminas e Suplementos;Centrum Adultos 30 comprimidos - Haleon;51.99;1;9.5;51.99;2026-05-14;14:57:16;Dinheiro;36.82;29.18;15.17;3.9
INV-000084;A;Bauru;Não Filiada;Analgésicos;Buscopan 10mg 20 comprimidos - Boehringer Ingelheim;13.96;1;7.5;13.96;2026-05-14;15:35:06;Cartão de Crédito;7.35;47.35;6.61;4.7
INV-000085;A;Jaú;Não Filiada;Gripe e Tosse;Naldecon Dia 4 comprimidos - Reckitt;11.89;2;9.5;23.78;2026-06-09;22:13:45;Cartão de Débito;12.73;46.47;11.05;4.5
INV-000086;A;São Carlos;Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;14.99;2;4.5;29.98;2026-07-29;19:15:06;Pix;21.52;28.22;8.46;4.4
INV-000087;A;Bauru;Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - EMS;11.09;2;6.0;22.18;2026-06-20;17:38:59;Cartão de Crédito;13.73;38.1;8.45;5.0
INV-000088;B;Jaú;Não Filiada;Antialérgicos;Cetirizina 10mg 12 comprimidos - Cimed;10.57;2;5.2;21.14;2026-07-13;13:31:30;Cartão de Crédito;15.29;27.67;5.85;4.5
INV-000089;A;Jaú;Não Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;13.87;2;6.0;27.74;2026-05-17;16:21:04;Cartão de Débito;16.53;40.41;11.21;4.3
INV-000090;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;10.7;1;10.2;10.7;2026-08-07;21:26:41;Cartão de Crédito;5.58;47.85;5.12;4.5
INV-000091;B;Jaú;Não Filiada;Diabetes;Metformina 850mg 30 comprimidos - EMS;15.58;1;5.2;15.58;2026-06-29;20:28:49;Cartão de Crédito;11.83;24.07;3.75;4.5
INV-000092;A;Bauru;Não Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;43.74;3;7.5;131.22;2026-07-07;18:46:14;Cartão de Crédito;98.79;24.71;32.43;5.0
INV-000093;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;17.11;2;6.0;34.22;2026-06-21;14:51:47;Cartão de Crédito;21.81;36.27;12.41;3.5
INV-000094;B;Araraquara;Filiada;Dermatológicos;Nebacetin 15g - Johnson & Johnson;15.07;1;7.5;15.07;2026-07-11;14:28:38;Pix;9.47;37.16;5.6;3.7
INV-000095;A;Bauru;Não Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - EMS;9.47;2;6.0;18.94;2026-08-10;17:45:04;Cartão de Crédito;12.39;34.58;6.55;4.4
INV-000096;A;Bauru;Não Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - EMS;10.74;2;11.3;21.48;2026-07-25;22:18:06;Pix;14.6;32.03;6.88;4.1
INV-000097;A;São Carlos;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;23.83;1;6.0;23.83;2026-05-06;13:32:09;Cartão de Crédito;12.51;47.5;11.32;4.9
INV-000098;A;Jaú;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;59.12;2;10.2;118.24;2026-06-20;18:12:22;Pix;74.86;36.69;43.38;4.2
INV-000099;A;São Carlos;Não Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - EMS;19.59;2;7.5;39.18;2026-07-30;12:45:33;Cartão de Crédito;25.69;34.43;13.49;4.1
INV-000100;B;Bauru;Filiada;Gripe e Tosse;Cimegripe 4 cápsulas - Cimed;9.33;2;9.5;18.66;2026-05-15;12:38:54;Cartão de Crédito;12.86;31.08;5.8;4.6
INV-000101;A;Jaú;Filiada;Vitaminas e Suplementos;Lavitan A-Z 60 comprimidos - Cimed;33.68;2;12.5;67.36;2026-05-14;15:10:59;Cartão de Crédito;42.2;37.35;25.16;5.0
INV-000102;A;Araraquara;Filiada;Gastrointestinais;Pantoprazol 40mg 28 comprimidos - Eurofarma;26.63;1;7.5;26.63;2026-05-13;10:30:21;Pix;19.51;26.74;7.12;3.6
INV-000103;A;Araraquara;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;47.37;1;12.5;47.37;2026-06-17;19:18:49;Pix;30.46;35.7;16.91;4.3
INV-000104;A;Jaú;Filiada;Vitaminas e Suplementos;Vitamina C 1g 10 comprimidos efervescentes - Cimed;14.29;1;5.2;14.29;2026-08-06;11:46:10;Cartão de Débito;8.69;39.19;5.6;4.3
INV-000105;A;Araraquara;Filiada;Gripe e Tosse;Vick VapoRub 30g - Kenvue;17.43;1;7.5;17.43;2026-07-13;14:02:48;Dinheiro;11.25;35.46;6.18;4.6
INV-000106;A;Bauru;Não Filiada;Dermatológicos;Hidratante CeraVe 200ml - L'Oréal;39.01;2;11.3;78.02;2026-05-12;16:06:45;Pix;42.02;46.14;36.0;4.9
INV-000107;B;Jaú;Não Filiada;Gripe e Tosse;Cimegripe 4 cápsulas - Cimed;7.02;1;6.0;7.02;2026-07-18;12:42:12;Cartão de Débito;3.68;47.58;3.34;4.3
INV-000108;B;São Carlos;Filiada;Diabetes;Metformina 850mg 30 comprimidos - Prati-Donaduzzi;14.86;1;7.5;14.86;2026-05-26;13:36:58;Cartão de Crédito;8.13;45.29;6.73;4.6
INV-000109;A;Araraquara;Não Filiada;Gripe e Tosse;Benegrip Multi 20 comprimidos - Hyper Pharma;15.27;3;10.2;45.81;2026-07-18;08:49:05;Cartão de Débito;33.55;26.76;12.26;4.9
INV-000110;A;Araraquara;Não Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;11.2;4;7.5;44.8;2026-06-20;21:52:35;Pix;28.36;36.7;16.44;4.6
INV-000111;A;Bauru;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;10.92;3;7.5;32.76;2026-07-31;15:30:34;Cartão de Crédito;17.31;47.16;15.45;4.4
INV-000112;A;São Carlos;Filiada;Analgésicos;Ibuprofeno 600mg 20 comprimidos - Medley;29.51;6;5.2;177.06;2026-05-30;14:16:28;Pix;121.58;31.33;55.48;4.6
INV-000113;A;Jaú;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;13.91;1;8.0;13.91;2026-06-21;11:58:58;Dinheiro;10.12;27.25;3.79;4.2
INV-000114;B;Jaú;Filiada;Antialérgicos;Cetirizina 10mg 12 comprimidos - Cimed;8.43;1;12.5;8.43;2026-05-30;17:14:39;Cartão de Débito;4.85;42.47;3.58;3.0
INV-000115;A;Jaú;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;48.85;2;6.0;97.7;2026-07-16;19:28:32;Cartão de Crédito;72.14;26.16;25.56;4.5
INV-000116;A;Jaú;Não Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - EMS;27.82;2;7.5;55.64;2026-07-23;11:02:54;Cartão de Débito;29.37;47.21;26.27;4.6
INV-000117;A;Bauru;Não Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;41.21;1;4.5;41.21;2026-05-02;17:34:08;Cartão de Crédito;26.08;36.71;15.13;4.6
INV-000118;B;São Carlos;Não Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - Medley;12.49;1;4.5;12.49;2026-07-26;18:06:01;Pix;7.3;41.55;5.19;3.6
INV-000119;B;Bauru;Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - Medley;12.68;2;7.5;25.36;2026-08-08;20:32:48;Pix;15.96;37.07;9.4;4.9
INV-000120;A;Jaú;Não Filiada;Antibióticos;Cefalexina 500mg 8 cápsulas - EMS;16.61;4;6.0;66.44;2026-06-23;20:01:40;Cartão de Crédito;42.93;35.39;23.51;4.7
INV-000121;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;9.75;1;5.2;9.75;2026-05-13;19:49:34;Cartão de Crédito;5.32;45.44;4.43;5.0
INV-000122;A;Araraquara;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;14.92;1;8.0;14.92;2026-07-21;08:14:02;Pix;9.23;38.14;5.69;4.0
INV-000123;A;Jaú;Filiada;Gripe e Tosse;Cimegripe Dia e Noite 8 cápsulas - Cimed;17.28;1;5.2;17.28;2026-05-30;20:41:19;Cartão de Crédito;11.29;34.66;5.99;4.6
INV-000124;A;Jaú;Filiada;Vitaminas e Suplementos;Vitamina C 1g 10 comprimidos efervescentes - Cimed;15.79;1;11.3;15.79;2026-07-08;18:07:30;Pix;9.05;42.69;6.74;4.1
INV-000125;A;Jaú;Não Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;32.12;2;9.5;64.24;2026-05-01;17:47:55;Cartão de Crédito;36.02;43.93;28.22;4.4
INV-000126;A;Bauru;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;13.61;1;8.0;13.61;2026-08-12;11:59:39;Cartão de Débito;8.92;34.46;4.69;4.7
INV-000127;B;Jaú;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;8.55;2;6.0;17.1;2026-06-18;14:56:40;Cartão de Crédito;10.58;38.13;6.52;3.3
INV-000128;B;Araraquara;Não Filiada;Dermatológicos;Nebacetin 15g - Johnson & Johnson;19.23;3;6.0;57.69;2026-06-08;19:36:28;Cartão de Débito;31.07;46.14;26.62;4.5
INV-000129;A;Araraquara;Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;11.66;2;6.0;23.32;2026-05-13;16:13:36;Cartão de Débito;12.69;45.58;10.63;4.4
INV-000130;A;Jaú;Não Filiada;Analgésicos;Ibuprofeno 600mg 20 comprimidos - Medley;18.37;6;6.0;110.22;2026-07-11;15:35:54;Pix;82.51;25.14;27.71;3.1
INV-000131;A;Jaú;Não Filiada;Analgésicos;Tylenol 750mg 20 comprimidos - Kenvue;20.38;1;10.2;20.38;2026-07-28;11:16:51;Pix;12.64;37.98;7.74;5.0
INV-000132;A;Bauru;Filiada;Dermatológicos;Protetor Solar FPS 50 40g - Mantecorp;39.04;1;7.5;39.04;2026-05-25;17:44:34;Cartão de Crédito;21.1;45.95;17.94;3.8
INV-000133;A;São Carlos;Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;20.21;3;6.0;60.63;2026-06-06;10:07:40;Pix;32.75;45.98;27.88;3.6
INV-000134;B;Jaú;Filiada;Analgésicos;Paracetamol 500mg 20 comprimidos - Neo Química;6.88;2;11.3;13.76;2026-08-04;16:29:15;Cartão de Crédito;8.68;36.92;5.08;4.1
INV-000135;A;Araraquara;Não Filiada;Antialérgicos;Allegra Pediátrico 60ml - Sanofi;51.61;1;10.2;51.61;2026-06-26;11:11:53;Pix;27.21;47.28;24.4;4.3
INV-000136;A;Araraquara;Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;35.6;3;10.2;106.8;2026-07-16;14:21:04;Cartão de Crédito;72.12;32.47;34.68;5.0
